epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mmd_distance,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mmd_distance,val/box_loss,val/cls_loss,val/dfl_loss,val/mmd_distance,lr/pg0,lr/pg1,lr/pg2
71,1503.72,1.8046,1.00136,0.90839,14791.2,0.72224,0.57598,0.62886,0.35308,7576.82,1.80683,1.12994,0.96956,0,0.000511769,0.000511769,0.000511769
72,1524.78,1.77979,0.99415,0.91085,14814.8,0.73328,0.56932,0.62783,0.35095,7557.68,1.81166,1.13035,0.96776,0,0.000495266,0.000495266,0.000495266
73,1545.93,1.77814,0.98315,0.90895,15110.7,0.72936,0.57032,0.62933,0.35087,7407.31,1.81073,1.12406,0.96721,0,0.000478762,0.000478762,0.000478762
74,1567.08,1.79574,1.00138,0.90945,15147,0.73034,0.56761,0.62925,0.35073,8033.56,1.81094,1.12731,0.96995,0,0.000462259,0.000462259,0.000462259
75,1588.48,1.78205,0.99425,0.90806,14835.3,0.72525,0.57906,0.63246,0.35248,8407.71,1.8086,1.14092,0.9686,0,0.000445756,0.000445756,0.000445756
76,1609.42,1.79887,0.99823,0.90723,15032.3,0.72925,0.56953,0.62718,0.34986,7926.9,1.81451,1.13254,0.96807,0,0.000429253,0.000429253,0.000429253
77,1630.24,1.77475,0.98204,0.90713,15073.7,0.73155,0.57244,0.62989,0.35149,7929.91,1.8095,1.13427,0.96761,0,0.000412749,0.000412749,0.000412749
78,1651.12,1.78476,0.98785,0.90249,15017,0.72808,0.57381,0.62891,0.35285,8082.57,1.80362,1.12961,0.96673,0,0.000396246,0.000396246,0.000396246
79,1672.39,1.78777,0.99941,0.90906,14775.3,0.73054,0.56871,0.62806,0.3513,8172.3,1.81639,1.12949,0.96937,0,0.000379743,0.000379743,0.000379743
80,1693.41,1.76398,0.98291,0.90889,15299,0.73456,0.57113,0.63043,0.35375,7531.23,1.8057,1.1183,0.96769,0,0.000363239,0.000363239,0.000363239
81,1714.45,1.79232,0.99224,0.90455,15141.9,0.73716,0.56711,0.62951,0.35315,7936.29,1.80421,1.12455,0.9651,0,0.000346736,0.000346736,0.000346736
82,1735.74,1.76776,0.97784,0.90407,15241.3,0.7299,0.57074,0.62734,0.35166,7895.92,1.81224,1.1244,0.96871,0,0.000330233,0.000330233,0.000330233
83,1756.8,1.77319,0.97998,0.90407,15172.7,0.72782,0.57647,0.63194,0.35123,8024.42,1.81265,1.12508,0.96785,0,0.000313729,0.000313729,0.000313729
84,1777.78,1.77135,0.97556,0.89936,15470.3,0.7304,0.57159,0.62897,0.35059,7856.72,1.81666,1.12547,0.97022,0,0.000297226,0.000297226,0.000297226
85,1798.54,1.76351,0.9765,0.90615,15405.3,0.72811,0.57586,0.6304,0.35299,7821.71,1.80376,1.12272,0.96783,0,0.000280723,0.000280723,0.000280723
86,1819.55,1.74968,0.96863,0.90483,15476.2,0.73437,0.57139,0.63074,0.35368,8341.12,1.80289,1.12646,0.96915,0,0.00026422,0.00026422,0.00026422
87,1840.61,1.76552,0.975,0.90438,15901.8,0.72862,0.57295,0.62903,0.35095,8304.83,1.81363,1.12743,0.96952,0,0.000247716,0.000247716,0.000247716
88,1861.6,1.77941,0.97884,0.90292,15772.9,0.7305,0.57259,0.62908,0.35309,7862.86,1.80704,1.12524,0.96903,0,0.000231213,0.000231213,0.000231213
89,1882.45,1.75747,0.97085,0.90211,15869.4,0.73153,0.57623,0.63093,0.35287,7760.85,1.80998,1.12575,0.96958,0,0.00021471,0.00021471,0.00021471
90,1903.6,1.76046,0.97069,0.90529,15984.4,0.73463,0.5715,0.62973,0.3527,8292.47,1.81154,1.12651,0.96908,0,0.000198206,0.000198206,0.000198206
91,1925.02,1.69409,0.94942,0.90818,12484.6,0.72306,0.57424,0.62544,0.34962,6514.58,1.81652,1.1285,0.97218,0,0.000181703,0.000181703,0.000181703
92,1944.57,1.67938,0.92937,0.9055,12084.9,0.73105,0.56921,0.62693,0.35139,6453.4,1.80962,1.12189,0.96928,0,0.0001652,0.0001652,0.0001652
93,1964.31,1.67465,0.91401,0.90463,12066.1,0.73038,0.57033,0.62824,0.35293,6450.34,1.80566,1.12089,0.96807,0,0.000148696,0.000148696,0.000148696
94,1983.79,1.6635,0.92195,0.90327,11962.9,0.73426,0.56861,0.62954,0.35271,6137.89,1.81083,1.11966,0.96858,0,0.000132193,0.000132193,0.000132193
95,2003.27,1.66001,0.91628,0.90424,12057.2,0.73063,0.57142,0.6285,0.35154,6199.49,1.81359,1.1186,0.97012,0,0.00011569,0.00011569,0.00011569
96,2022.77,1.65157,0.90786,0.90416,12318.1,0.73029,0.56865,0.62802,0.35254,6365.63,1.81119,1.12015,0.97006,0,9.91865e-05,9.91865e-05,9.91865e-05
97,2042.5,1.66593,0.92047,0.90324,12121.7,0.73012,0.57048,0.62854,0.35335,6295.89,1.80717,1.11922,0.96846,0,8.26832e-05,8.26832e-05,8.26832e-05
98,2061.87,1.66265,0.91808,0.90172,12041.1,0.7287,0.56985,0.62723,0.35144,6302.76,1.81577,1.12288,0.96962,0,6.61799e-05,6.61799e-05,6.61799e-05
99,2081.37,1.65461,0.90987,0.90215,12293.9,0.73154,0.57007,0.62819,0.35253,6331.9,1.81452,1.11846,0.96956,0,4.96766e-05,4.96766e-05,4.96766e-05
100,2100.9,1.64838,0.90687,0.90411,12145.7,0.72956,0.57049,0.62873,0.35264,6401.88,1.81178,1.11931,0.96858,0,3.31733e-05,3.31733e-05,3.31733e-05
