epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mmd_distance,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mmd_distance,val/box_loss,val/cls_loss,val/dfl_loss,val/mmd_distance,lr/pg0,lr/pg1,lr/pg2
70,1542.91,1.84095,1.08073,0.92493,1346.69,0.73011,0.56341,0.62079,0.3479,866.288,1.82153,1.15431,0.96791,0,0.000528272,0.000528272,0.000528272
71,1565.09,1.84961,1.07077,0.91984,3372.26,0.7077,0.56975,0.61961,0.34539,1096.93,1.82028,1.21077,0.9699,0,0.000511769,0.000511769,0.000511769
72,1587,1.83509,1.07673,0.92402,748.09,0.71193,0.56594,0.61711,0.34425,352.095,1.82349,1.2013,0.96876,0,0.000495266,0.000495266,0.000495266
73,1608.89,1.83629,1.07068,0.92183,494.756,0.71745,0.56588,0.61915,0.34679,260.119,1.81535,1.16952,0.96804,0,0.000478762,0.000478762,0.000478762
74,1631.07,1.85657,1.08683,0.92353,1001.11,0.71798,0.56996,0.62322,0.34794,324.117,1.81686,1.17824,0.96843,0,0.000462259,0.000462259,0.000462259
75,1653.36,1.84747,1.08609,0.92302,401.164,0.71303,0.56875,0.62107,0.34648,163.622,1.81817,1.21668,0.96748,0,0.000445756,0.000445756,0.000445756
76,1675.64,1.86892,1.1009,0.92269,331.284,0.71014,0.56911,0.6181,0.34576,183.782,1.81819,1.1976,0.96814,0,0.000429253,0.000429253,0.000429253
77,1697.65,1.84087,1.08286,0.92265,616.588,0.7119,0.57055,0.61927,0.3482,351.882,1.81729,1.18983,0.96954,0,0.000412749,0.000412749,0.000412749
78,1719.63,1.8523,1.08565,0.91844,459.126,0.71393,0.56498,0.61637,0.34574,167.917,1.81991,1.20014,0.96929,0,0.000396246,0.000396246,0.000396246
79,1742.03,1.88642,1.14854,0.93314,121.394,0.6958,0.55854,0.6041,0.33765,93.199,1.83223,1.23385,0.97365,0,0.000379743,0.000379743,0.000379743
80,1764.08,1.88714,1.17182,0.94004,382.025,0.69429,0.55596,0.60125,0.33592,371.133,1.83963,1.22618,0.97563,0,0.000363239,0.000363239,0.000363239
81,1786.11,1.89302,1.16216,0.93026,1102.43,0.6948,0.55497,0.60181,0.33782,580.533,1.8317,1.30788,0.97539,0,0.000346736,0.000346736,0.000346736
82,1808.53,1.87166,1.14124,0.92958,336.739,0.70073,0.54903,0.59748,0.336,135.194,1.83538,1.22523,0.9756,0,0.000330233,0.000330233,0.000330233
83,1830.29,1.90571,1.19266,0.93585,51.3693,0.67967,0.53398,0.57407,0.32131,24.2732,1.86536,1.33115,0.98375,0,0.000313729,0.000313729,0.000313729
84,1852.31,1.92915,1.23742,0.9386,9.05342,0.64852,0.52636,0.55578,0.3151,7.13528,1.87204,1.36404,0.9875,0,0.000297226,0.000297226,0.000297226
85,1874.26,1.94486,1.28419,0.95135,10.8226,0.65642,0.51658,0.551,0.31118,9.75633,1.87797,1.33061,0.98579,0,0.000280723,0.000280723,0.000280723
86,1896.4,1.91639,1.25711,0.94742,30.325,0.6551,0.51483,0.55052,0.30959,17.3295,1.90409,1.44602,0.99691,0,0.00026422,0.00026422,0.00026422
87,1918.42,1.93713,1.26493,0.94755,16.9852,0.66276,0.5205,0.55903,0.3156,12.462,1.88601,1.34397,0.98638,0,0.000247716,0.000247716,0.000247716
88,1940.55,1.94193,1.24843,0.94342,23.6314,0.66526,0.52966,0.56796,0.32221,14.5045,1.86655,1.33668,0.98307,0,0.000231213,0.000231213,0.000231213
89,1962.53,1.92217,1.24374,0.9414,24.8847,0.65482,0.53067,0.56416,0.31826,17.4404,1.88542,1.33951,0.98771,0,0.00021471,0.00021471,0.00021471
90,1984.33,1.91652,1.24032,0.94392,54.2554,0.66586,0.52682,0.56374,0.32037,21.5855,1.86579,1.30823,0.98321,0,0.000198206,0.000198206,0.000198206
91,2007.01,1.8569,1.23107,0.95135,257.929,0.65838,0.52116,0.5565,0.31579,145.034,1.8801,1.28881,0.98977,0,0.000181703,0.000181703,0.000181703
92,2027.18,1.82696,1.16968,0.94404,287.569,0.6821,0.53309,0.57899,0.32911,112.288,1.84523,1.24758,0.97684,0,0.0001652,0.0001652,0.0001652
93,2047.67,1.81709,1.14645,0.94086,189.765,0.68484,0.53529,0.58142,0.3297,70.0662,1.85119,1.25406,0.97716,0,0.000148696,0.000148696,0.000148696
94,2068.03,1.80769,1.15942,0.93952,243.895,0.68523,0.53404,0.58136,0.33119,62.957,1.8409,1.24815,0.97271,0,0.000132193,0.000132193,0.000132193
95,2088.12,1.8136,1.1563,0.94279,591.861,0.68998,0.53108,0.58066,0.32927,68.9982,1.84642,1.24612,0.97704,0,0.00011569,0.00011569,0.00011569
96,2108.54,1.80483,1.15319,0.94244,874.673,0.68746,0.52825,0.57696,0.3253,94.3841,1.85954,1.26362,0.98038,0,9.91865e-05,9.91865e-05,9.91865e-05
97,2129.2,1.82465,1.16266,0.94222,1423.63,0.68362,0.5272,0.5743,0.32214,139.295,1.86595,1.27503,0.98208,0,8.26832e-05,8.26832e-05,8.26832e-05
98,2149.15,1.82384,1.16842,0.94185,1766.93,0.67239,0.52483,0.56863,0.31959,170.073,1.8739,1.29924,0.98513,0,6.61799e-05,6.61799e-05,6.61799e-05
99,2169.24,1.8153,1.15463,0.94255,1744.92,0.6702,0.52812,0.56944,0.32103,247.403,1.86856,1.29581,0.983,0,4.96766e-05,4.96766e-05,4.96766e-05
100,2189.55,1.80994,1.15681,0.9468,2099.76,0.67541,0.52817,0.57205,0.32188,288.953,1.86831,1.27911,0.98191,0,3.31733e-05,3.31733e-05,3.31733e-05
